150,138,4,34
151,246,171,190
152,200,138,133
153,211,159,198
154,31,8,22
155,107,99,176
156,83,115,176
157,118,162,204
158,4,44,109
159,131,152,183
160,86,115,158
161,50,84,129
162,146,195,214
163,4,112,83
164,63,185,119
165,183,200,99
166,130,162,0
167,132,100,37
168,151,175,180
169,82,119,121
208,165,75,186
209,197,118,207
210,209,147,232
211,226,181,238
221,109,10,24
223,169,82,87
224,218,158,153
225,237,201,193
300,119,43,27
301,173,73,24
304,194,9,39
307,233,212,4
309,209,26,84
310,0,0,0
311,54,63,103
312,67,84,145
315,111,39,54
316,179,93,132
317,104,97,116
318,159,152,176
319,49,74,51
320,100,139,94
321,208,1,28
322,100,121,190
326,203,10,54
327,122,43,116
333,114,62,168
334,112,137,189
335,241,65,130
336,55,50,93
340,154,129,216
341,163,165,219
347,222,34,46
349,207,3,39
350,236,64,64
351,249,96,95
352,252,144,138
353,254,191,180
355,176,45,44
356,206,89,77
367,79,114,75
368,138,169,121
369,182,210,163
370,160,129,71
371,160,132,77
372,181,161,109
400,150,50,25
402,238,138,95
407,199,120,115
413,85,80,88
414,121,112,131
415,185,179,199
420,164,101,55
422,208,159,99
433,126,62,41
434,162,80,45
435,187,110,53
436,214,144,84
437,224,161,111
444,231,184,4
445,239,240,88
451,147,115,122
452,190,154,166
453,210,188,192
469,85,100,42
470,117,133,41
471,131,144,69
472,178,189,96
498,184,9,37
500,46,67,57
501,77,111,99
502,104,142,126
503,139,175,164
504,183,212,199
505,4,90,52
517,78,114,169
518,106,159,185
519,148,190,217
520,74,92,70
522,128,141,116
523,147,154,126
524,163,165,134
535,91,85,85
543,239,205,194
550,94,21,99
552,152,52,159
553,169,73,180
554,214,133,215
561,58,106,84
562,88,149,102
563,141,201,154
564,164,218,173
580,97,102,42
581,126,138,39
597,112,168,175
598,153,204,204
600,214,0,87
601,234,1,112
602,241,30,136
603,248,73,168
604,249,120,194
605,251,150,217
606,228,0,10
608,249,0,39
610,116,84,63
611,146,110,78
612,178,143,103
613,208,186,160
632,150,69,64
640,138,113,89
642,162,142,117
644,208,191,170
645,109,98,94
646,130,120,118
647,127,146,125
648,183,175,169
666,233,0,22
676,236,185,111
677,240,215,156
680,177,115,44
699,4,103,29
700,29,129,38
701,48,142,43
702,73,161,44
703,108,182,55
704,129,186,40
712,246,236,218
718,205,15,119
720,230,61,17
721,248,87,43
722,250,121,80
725,241,178,31
726,247,203,22
727,248,226,95
728,227,168,13
729,204,138,65
730,112,93,26
731,133,123,23
732,125,105,17
733,162,139,30
734,184,161,65
738,222,179,137
739,235,204,175
740,254,69,0
741,249,106,2
742,252,141,18
743,249,184,56
744,246,203,102
745,243,212,141
746,255,252,218
747,204,242,245
754,248,187,169
758,244,156,142
760,247,122,143
761,250,164,181
762,223,217,234
772,190,216,150
775,201,218,232
776,252,163,198
777,124,2,29
778,204,153,157
779,82,52,49
780,165,72,52
781,181,98,14
782,193,110,11
783,209,125,26
791,69,45,123
792,91,71,157
793,120,119,180
794,150,161,212
796,56,43,136
797,72,66,156
798,81,100,190
799,118,140,202
800,165,193,227
801,120,62,49
803,4,30,83
806,82,130,164
807,104,165,180
809,145,162,224
813,134,169,212
814,137,25,49
815,163,25,41
816,174,28,46
817,196,5,23
818,252,212,231
819,251,228,236
820,44,30,121
822,235,217,196
823,47,38,66
824,65,80,148
825,65,97,166
826,94,131,186
827,156,202,232
828,190,221,232
829,112,70,33
830,121,78,33
831,141,101,36
832,169,124,37
833,179,139,54
834,202,169,80
838,95,54,49
839,110,69,62
840,150,105,93
841,174,132,122
842,211,177,166
844,81,71,72
869,132,78,39
890,32,62,38
891,247,10,91
892,249,44,112
893,252,65,139
894,251,107,175
895,50,73,44
898,100,54,45
899,243,86,152
900,207,18,37
902,77,9,24
904,65,102,38
905,75,125,23
906,83,155,4
907,129,179,8
909,4,117,32
910,17,137,42
911,47,158,62
912,80,186,98
913,104,192,111
915,158,10,73
917,186,26,111
918,159,47,30
919,181,46,21
920,186,54,28
921,212,78,37
922,239,103,52
924,66,84,90
926,129,143,149
927,168,183,183
928,186,192,195
930,71,80,113
931,102,118,149
932,143,159,189
934,56,54,41
935,66,69,49
936,76,77,44
937,71,90,32
938,85,49,47
939,48,33,57
943,36,167,207
945,246,184,155
946,235,122,14
947,237,109,30
948,252,217,207
950,243,191,177
951,249,208,190
954,131,208,128
955,168,231,160
956,253,41,138
957,250,125,190
958,72,187,140
959,100,201,161
961,238,71,134
962,244,98,164
963,251,186,224
964,159,235,210
966,153,201,158
967,254,191,169
970,254,66,29
971,247,65,3
972,241,147,4
973,239,198,5
975,146,61,38
976,205,106,41
977,221,134,67
986,51,92,45
987,78,112,57
988,100,137,66
989,116,154,78
991,47,126,93
992,94,178,139
993,116,198,157
995,14,109,195
996,77,170,239
3011,109,93,47
3012,144,124,63
3013,170,158,99
3021,86,67,60
3022,85,116,88
3023,176,162,146
3024,201,196,192
3031,80,51,47
3032,162,133,106
3033,225,201,188
3041,94,64,85
3042,151,124,143
3045,193,141,88
3046,211,181,108
3047,233,217,149
3051,90,90,50
3052,131,132,89
3053,151,156,103
3064,216,133,109
3072,210,208,203
3078,239,234,141
3325,163,189,229
3326,250,146,187
3328,225,68,84
3340,251,78,47
3341,250,166,129
3345,59,86,44
3346,94,117,56
3347,104,131,67
3348,158,179,96
3350,209,39,105
3354,244,142,187
3362,83,94,66
3363,107,128,91
3364,136,147,92
3371,54,43,45
3607,221,61,155
3608,245,125,207
3609,249,149,222
3685,91,3,30
3687,187,61,99
3688,207,101,132
3689,240,164,187
3705,241,42,86
3706,255,80,140
3708,254,132,193
3712,238,91,108
3713,252,191,209
3716,249,144,198
3721,137,32,44
3722,157,57,66
3726,133,60,75
3727,199,139,154
3731,225,66,133
3733,240,108,165
3740,82,48,68
3743,171,162,178
3746,130,92,191
3747,204,199,236
3750,55,65,96
3752,170,186,214
3753,195,212,229
3755,137,168,212
3756,227,235,241
3760,93,137,177
3761,173,215,226
3765,56,108,143
3766,137,191,204
3768,97,117,123
3770,253,234,216
3771,229,156,119
3772,176,94,89
3773,216,142,129
3774,248,207,188
3776,221,107,55
3777,161,32,43
3778,229,119,110
3779,244,171,166
3781,111,72,60
3782,187,156,134
3787,109,89,77
3790,128,96,78
3799,75,64,72
3801,250,26,71
3802,77,14,34
3803,113,11,48
3804,226,5,115
3805,231,29,105
3806,243,80,170
3807,108,100,170
3808,43,93,93
3809,54,111,120
3810,87,146,158
3811,173,213,216
3812,14,155,105
3813,162,194,185
3814,59,147,112
3815,90,137,108
3816,116,162,138
3817,152,189,168
3818,11,98,41
3819,192,194,20
3820,226,164,27
3821,234,184,53
3822,245,209,90
3823,243,227,178
3824,248,142,146
3825,248,153,115
3826,186,86,37
3827,235,160,96
3828,188,130,69
3829,178,112,41
3830,202,68,63
3831,207,32,73
3832,235,50,108
3833,244,89,139
3834,73,15,56
3835,105,37,89
3836,175,112,155
